IDS_PROPQUEST_INC_000000	Evènement
IDS_PROPQUEST_INC_000001	Changement de classe (n°1)
IDS_PROPQUEST_INC_000002	Changement de classe (n°2)
IDS_PROPQUEST_INC_000003	Donjon
IDS_PROPQUEST_INC_000004	Général
IDS_PROPQUEST_INC_000005	Quête du Mercenaire
IDS_PROPQUEST_INC_000006	Après avoir dit à Julia que je voulais devenir Mercenaire, elle m'a envoyé à la rencontre de Valin. Il vit hors de la ville et devrait se trouver près de la porte nord-ouest.
IDS_PROPQUEST_INC_000007	
IDS_PROPQUEST_INC_000008	
IDS_PROPQUEST_INC_000009	Si je reviens avec le repas de Losha, il devrait me donner quelque chose d'intéressant.
IDS_PROPQUEST_INC_000010	
IDS_PROPQUEST_INC_000011	
IDS_PROPQUEST_INC_000012	Reçu un repas de la part de Losha. Cela a l'air délicieux.
IDS_PROPQUEST_INC_000013	
IDS_PROPQUEST_INC_000014	
IDS_PROPQUEST_INC_000015	Si j'apporte la Lame du Courage à Boboko, il pourra me forger l'Epée du Courage. Je devrais retourner en ville.
IDS_PROPQUEST_INC_000016	
IDS_PROPQUEST_INC_000017	
IDS_PROPQUEST_INC_000018	Boboko a besoin d'une Pierre de Vision obtenu sur un Capitaine Lawolf pour forger l'Epée du Courage. Je pense en avoir déjà vu une dans la zone montagneuse au nord de la ville.
IDS_PROPQUEST_INC_000019	
IDS_PROPQUEST_INC_000020	
IDS_PROPQUEST_INC_000021	Je devrais retourner voir Valin avec l'Epée du courage. Je pourrais alors devenir Mercenaire.
IDS_PROPQUEST_INC_000022	
IDS_PROPQUEST_INC_000023	
IDS_PROPQUEST_INC_000024	Je suis enfin devenu un Mercenaire ! Je peux retourner en ville pour m'acheter de l'équipement.
IDS_PROPQUEST_INC_000025	
IDS_PROPQUEST_INC_000026	
IDS_PROPQUEST_INC_000027	Quête de l'Acolyte
IDS_PROPQUEST_INC_000028	Après avoir dit à Julia que je voulais devenir Acolyte, elle m'a envoyé rencontrer Rooney. Il vit hors de la ville et devrait se trouver le long de la route.
IDS_PROPQUEST_INC_000029	
IDS_PROPQUEST_INC_000030	
IDS_PROPQUEST_INC_000031	Rooney m'a demandé d'apporter une lettre à son frère Lui.
IDS_PROPQUEST_INC_000032	
IDS_PROPQUEST_INC_000033	
IDS_PROPQUEST_INC_000034	Lui m'a demandé d'apporter sa réponse à son frère Rooney.
IDS_PROPQUEST_INC_000035	
IDS_PROPQUEST_INC_000036	
IDS_PROPQUEST_INC_000037	Après avoir lu la lettre de son frère, Rooney paraissait enchanté. Il m'a demandé de chercher 10 Pierres de Luxos de Pukepuke, 5 Pierres de Lumix de Jeune Doridoma et 3 Pierres de Luxur de Capitaine Lawolf.
IDS_PROPQUEST_INC_000038	
IDS_PROPQUEST_INC_000039	
IDS_PROPQUEST_INC_000040	Je suis enfin devenu un Acolyte ! Je peux retourner en ville pour acheter de l'équipement.
IDS_PROPQUEST_INC_000041	
IDS_PROPQUEST_INC_000042	
IDS_PROPQUEST_INC_000043	Quête du Magicien
IDS_PROPQUEST_INC_000044	Après avoir dit à Julia que je voulais devenir Magicien, elle m'a envoyé rencontrer Mule. Il vit hors de la ville et devrait se trouver au nord-est de la ville.
IDS_PROPQUEST_INC_000045	
IDS_PROPQUEST_INC_000046	
IDS_PROPQUEST_INC_000047	Mule m'a demandé d'aller chercher le Livre de Mule chez Marche.
IDS_PROPQUEST_INC_000048	
IDS_PROPQUEST_INC_000049	
IDS_PROPQUEST_INC_000050	Marche m'a dit qu'elle avait oublié de rendre le livre. Je devrais me dépêcher de retourner voir Mule.
IDS_PROPQUEST_INC_000051	
IDS_PROPQUEST_INC_000052	
IDS_PROPQUEST_INC_000053	Mule m'a demandé de retourner chez Marche pour trouver un autre livre intitulé le "Livre des baguettes magiques".
IDS_PROPQUEST_INC_000054	
IDS_PROPQUEST_INC_000055	
IDS_PROPQUEST_INC_000056	Marche m'a confirmé qu'elle avait bien le livre, mais que Demian avait en sa possession 10 pages du livre. Elle m'a demandé de les lui ramener.
IDS_PROPQUEST_INC_000057	
IDS_PROPQUEST_INC_000058	
IDS_PROPQUEST_INC_000059	J'ai enfin le "Livre des baguettes magiques". Je devrais retourner voir Mule.
IDS_PROPQUEST_INC_000060	
IDS_PROPQUEST_INC_000061	
